21:13:21.435 -> angle read:14.00 | controller signal:1483.90 | 
21:13:21.469 -> angle read:14.00 | controller signal:1483.90 | 
21:13:21.539 -> angle read:14.00 | controller signal:1485.00 | 
21:13:21.573 -> angle read:14.00 | controller signal:1485.00 | 
21:13:21.639 -> angle read:13.00 | controller signal:1485.00 | 
21:13:21.674 -> angle read:14.00 | controller signal:1486.10 | 
21:13:21.741 -> angle read:13.00 | controller signal:1486.10 | 
21:13:21.776 -> angle read:14.00 | controller signal:1487.20 | 
21:13:21.844 -> angle read:14.00 | controller signal:1487.20 | 
21:13:21.878 -> angle read:14.00 | controller signal:1488.30 | 
21:13:21.948 -> angle read:14.00 | controller signal:1488.30 | 
21:13:21.983 -> angle read:14.00 | controller signal:1488.30 | 
21:13:22.017 -> angle read:14.00 | controller signal:1489.40 | 
21:13:22.085 -> angle read:14.00 | controller signal:1489.40 | 
21:13:22.120 -> angle read:14.00 | controller signal:1490.50 | 
21:13:22.190 -> angle read:14.00 | controller signal:1490.50 | 
21:13:22.224 -> angle read:14.00 | controller signal:1490.50 | 
21:13:22.292 -> angle read:14.00 | controller signal:1491.60 | 
21:13:22.327 -> angle read:13.00 | controller signal:1491.60 | 
21:13:22.395 -> angle read:14.00 | controller signal:1492.70 | 
21:13:22.429 -> angle read:14.00 | controller signal:1492.70 | 
21:13:22.496 -> angle read:14.00 | controller signal:1493.80 | 
21:13:22.531 -> angle read:14.00 | controller signal:1493.80 | 
21:13:22.565 -> angle read:13.00 | controller signal:1493.80 | 
21:13:22.633 -> angle read:14.00 | controller signal:1494.90 | 
21:13:22.668 -> angle read:13.00 | controller signal:1494.90 | 
21:13:22.736 -> angle read:13.00 | controller signal:1509.10 | 
21:13:22.771 -> angle read:14.00 | controller signal:1509.10 | 
21:13:22.841 -> angle read:13.00 | controller signal:1509.10 | 
21:13:22.875 -> angle read:14.00 | controller signal:1498.20 | 
21:13:22.944 -> angle read:14.00 | controller signal:1498.20 | 
